ftid;name
907;Sykkelrute_HovednettByTettsted
705;Sykkelrute_TurFritid
874;Sykkeltilbud_Riksvegrute
794;Systemobjekt
859;TaktileIndikatorer
816;TaljerLøfteutstyr
939;Tank
166;Teledybdemåler
473;Telefonsentral
290;Telehiv
463;Temperaturmåler
481;Tennpunkt
826;TEN_TVeg
562;Testobjekttype
762;TilstandSkadeFU_Punkt
507;TilstandSkadeFU_Strekning
277;TilstandSkade_Belysning
123;TilstandSkade_Dekke
834;TilstandSkade_Fjellskjæring
302;TilstandSkade_Grøft
761;TilstandSkade_Punkt
284;TilstandSkade_Rekkverk
438;TilstandSkade_Skiltplate
276;TilstandSkade_Skiltpunkt
529;TilstandSkade_SkulderKant
294;TilstandSkade_Strekning
829;TilstandSkade_Trær_Test
879;Tilstandsgrad_Kum
947;Tilstandsgrad_Rekkverk
877;Tilstandsgrad_SidegrøftDyp
899;Tilstandsgrad_Skjerm
878;Tilstandsgrad_StikkrenneKulvert
243;Toalettanlegg
527;Trafikanttilbud
887;Trafikkberedskapsklasse
708;TrafikkdataITellepunkt
172;Trafikkdeler
707;Trafikkindeks
47;Trafikklomme
540;Trafikkmengde
798;Trafikkmengde_Kjørefelt
482;Trafikkregistreringsstasjon
856;Trafikkreguleringer
342;Trafikkspeil
638;Trafikkstasjon
570;Trafikkulykke
49;Trafikkøy
466;Trafo
539;Transportlenke
875;Trapp
853;Trekkekum
852;TrekkerørKanal
199;Trær
914;TS_Inspeksjon
581;Tunnel
67;Tunnelløp
447;TunnelløpUtenTrafikk
776;Tunnelovervåkning
854;Tunnelport
69;Tunnelportal
448;Tunnelsjakt
777;Turistveg
528;Tverrprofil
571;UlykkesinvolvertEnhet
572;UlykkesinvolvertPerson
716;Ulykkespunkt
717;Ulykkesstrekning
880;Ulykkesstrekning_Egendefinert
452;Undergang
303;Undergrunn
468;UPS
28;Utemøbler
70;VannOgFrostsikring
882;Vannhåndteringsanlegg
464;Vannstandsmåler
97;VariabeltSkilt
30;Veganlegg
