ftid;name
762;Tilstand/skade FU, punkt
507;Tilstand/skade FU, strekning
277;Tilstand/skade, belysning
123;Tilstand/skade, dekke
834;Tilstand/skade, fjellskjæring
302;Tilstand/skade, grøft
761;Tilstand/skade, punkt
284;Tilstand/skade, rekkverk
438;Tilstand/skade, skiltplate
276;Tilstand/skade, skiltpunkt
529;Tilstand/skade, skulder/kant
294;Tilstand/skade, strekning
829;Tilstand/skade, trær (test)
879;Tilstandsgrad, kum
877;Tilstandsgrad, sidegrøft dyp
899;Tilstandsgrad, skjerm
878;Tilstandsgrad, stikkrenne/kulvert
243;Toalettanlegg
527;Trafikanttilbud
887;Trafikkberedskapsklasse
708;Trafikkdata i tellepunkt
172;Trafikkdeler
707;Trafikkindeks
47;Trafikklomme
540;Trafikkmengde
798;Trafikkmengde, kjørefelt
482;Trafikkregistreringsstasjon
856;Trafikkreguleringer
342;Trafikkspeil
638;Trafikkstasjon
570;Trafikkulykke
49;Trafikkøy
466;Trafo
539;Transportlenke
875;Trapp
853;Trekkekum
852;Trekkerør/kanal
199;Trær
914;TS-inspeksjon
581;Tunnel
67;Tunnelløp
447;Tunnelløp uten trafikk
776;Tunnelovervåkning
854;Tunnelport
69;Tunnelportal
448;Tunnelsjakt
777;Turistveg
528;Tverrprofil
571;Ulykkesinvolvert enhet
572;Ulykkesinvolvert person
716;Ulykkespunkt
717;Ulykkesstrekning
880;Ulykkesstrekning, egendefinert
452;Undergang
303;Undergrunn
468;UPS
28;Utemøbler
70;Vann- og frostsikring
882;Vannhåndteringsanlegg
464;Vannstandsmåler
97;Variabelt skilt
30;Veganlegg
537;Vegavdeling
23;Vegbom
583;Vegbredde
838;Vegbredde, beregnet
241;Vegdekke
629;Vegdekke, flatelapping
614;Vegdekke, fresing
628;Vegdekke, sporfylling
831;Vegdekkeklasse
577;Vegfunksjon
631;Vegkommentar
37;Vegkryss
757;Vegliste, vedlegg
933;Vegmerkingsparsell (test)
786;Vegminne
922;Vegmyndighet kan bli endret
913;Vegnettsrestriksjon (test)
604;Vegnormalstrekning
836;Vegoppmerking, forsterket
99;Vegoppmerking, langsgående
519;Vegoppmerking, tverrgående
532;Vegreferanse
895;VegROS punkt
269;Vegskulder/Vegkant
607;Vegsperring
541;Vegstandard
485;Vegstengning
915;Vegsystem
155;Vekt
278;Ventilasjonsanlegg
928;Vertikaldren
212;Vifte/Ventilator
291;Viltfare
498;Viltskremmere/varslere
165;Vindmåler
810;Vinterdriftsklasse
106;Vinterdriftsstrategi
769;Vlenkeid
234;Voll
605;Værrelatert strekning
153;Værstasjon
107;Værutsatt veg
